player_id,goals,red_cards,player_club_id,competition_id,matches
3109,38,1,31,"ELQ,GB1,EL,FAC,CL",120
3114,6,0,42,"ELQ,DFB,L1,EL",72
3115,2,0,40,"EL,FR1",24
3118,1,0,1039,"GB1,FAC",5
3130,0,0,289,"GB1,FAC",18
3131,0,0,873,GB1,4
3132,5,0,"1506,126",TR1,31
3139,0,1,583,"FR1,CL",12
3146,0,0,"405,512","GB1,FAC",21
3156,1,0,148,"GB1,EL",24
3159,0,0,416,"IT1,CIT",10
3160,17,2,631,"GBCS,GB1,CL,FAC,EL,USC",160
3163,30,0,"631,281","GBCS,GB1,USC,CL,KLUB,FAC,EL",123
3165,1,0,"1041,141","FRCH,FR1,TR1,CL",14
3170,4,0,"499,1304","ELQ,NL1,NLP",80
3172,4,0,940,"ES1,CDR",28
3176,10,1,"520,2282","BE1,ELQ",43
3179,11,1,"379,371","GB1,FAC,SC1,SFA",86
3182,1,0,"631,12","GBCS,GB1,USC,CL,KLUB,FAC,EL,IT1,CIT",89
3190,0,0,1032,GB1,4
3195,1,0,512,GB1,9
3201,8,0,"3060,265","GR1,GRP,ELQ,CLQ",104
3202,1,0,"281,31,371","GB1,FAC,CL,EL,CLQ,SC1,SFA",95
3205,0,0,"1083,164","RU1,RUP,FAC",10
3216,2,1,589,TR1,13
3220,0,0,931,"GB1,FAC",54
3226,2,0,"506,984","CL,IT1,GB1",15
3235,1,0,"985,1039","GB1,CL,FAC",68
3251,0,0,370,"SC1,SFA",24
3256,4,0,"114,15","TR1,DFB,L1,CL,CLQ,EL",110
3259,3,0,931,"GB1,FAC",50
3266,24,0,1158,FR1,71
3269,3,0,370,"SC1,SFA",21
3270,1,0,"36,1123","CLQ,TR1,EL,GB1",44
3273,1,0,"512,1003","GB1,FAC",7
3276,6,0,"762,873","GB1,EL,FAC",65
3287,0,0,2578,"SC1,SFA",5
3291,8,0,"281,29,984","GB1,CL,FAC,EL,ELQ",218
3292,3,1,"244,1039,124,1132","EL,FR1,GB1,SC1,FAC",81
3296,1,1,1003,"GB1,FAC",28
3297,2,0,603,GB1,22
3306,34,1,"512,1132","GB1,FAC,ELQ",165
3310,0,0,370,SC1,2
3321,0,0,"121,234,3725","RU1,ELQ,RUP,NL1,EL,NLP",78
3322,0,0,903,"SC1,SFA,ELQ",83
3332,82,1,"985,29","GB1,CL,FAC,CLQ,GBCS,EL,ELQ",224
3333,39,1,"281,31,1237","GBCS,GB1,CL,FAC,EL,CLQ,USC,KLUB,CGB",480
3354,3,0,2282,"CLQ,BE1,ELQ,EL",27
3356,0,0,"29,989","GB1,FAC,EL",106
3357,0,0,"931,631,1003","GB1,FAC,CL",55
3366,14,0,"418,5","ES1,CL,CDR,IT1,CIT",64
3391,3,0,10484,TR1,22
3395,0,0,467,"NL1,NLP",29
3397,1,0,985,"GB1,CL,FAC",21
3404,0,0,29,"GB1,FAC",23
3405,0,4,289,"GB1,FAC",59
3406,3,0,985,"GB1,CL,FAC,GBCS",51
3411,0,0,294,"PO1,CL,POCP,EL",18
3413,4,0,"825,2292","ELQ,TR1",47
3417,1,0,"12,252,416","IT1,CIT",142
3428,0,0,46,IT1,3
3441,20,1,"4,2282","DFB,L1,BE1,ELQ,EL,BESC,CLQ,CL",183
3447,0,0,2778,"DKP,DK1",3
3455,196,4,"583,985,5","FR1,CL,FRCH,GBCS,GB1,EL,FAC,IT1,CIT,ELQ",283
3458,18,0,"1506,126,19771",TR1,85
3461,2,0,"148,1039",GB1,13
3466,0,0,22110,DKP,1
3467,1,0,1039,"GB1,FAC",25
3473,0,0,512,"FAC,GB1",7
3476,0,0,148,"GB1,EL,FAC,ELQ",27
3480,8,0,1075,"PO1,CLQ,CL,POCP",40
3495,0,0,237,"ES1,CDR",38
3507,0,1,5,"IT1,CL,CIT,CLQ",94
3515,8,0,383,"NLSC,NL1,ELQ,EL,NLP",35
3525,2,1,"583,273","FR1,CL",123
3530,1,0,82,"L1,DFB",51
3531,2,0,449,"TR1,ELQ",6
3534,0,0,683,"GR1,CL,GRP,EL",27
3535,0,0,331,ES1,1
3539,0,0,"265,698","GRP,GR1,EL,ELQ,FAC",87
3540,3,1,289,"GB1,FAC",168
3547,8,0,"985,984,512","CL,GB1,FAC",157
3548,6,1,"289,931,405","GB1,FAC",87
3560,0,0,"984,873","FAC,GB1",23
3562,0,0,"762,3008","ELQ,GB1,EL,FAC",37
3564,0,0,370,SC1,3
3569,7,0,"1041,1162","FR1,EL,CLQ,ELQ,FRCH,CL",131
3573,2,0,114,"TR1,ELQ",27
3575,0,0,"1082,595","FR1,CLQ,CL",71
3580,1,0,"931,43","GB1,FAC,SFA,SC1",76
3583,0,0,"466,511","FAC,SC1",10
3589,0,0,370,SC1,9
3597,0,0,31,"ELQ,GB1,EL,FAC",36
3613,0,0,903,SC1,1
3614,0,0,29,"GB1,FAC,EL",18
3620,13,0,29,"GB1,FAC,EL",122
3630,0,0,1132,GB1,3
3634,0,0,1032,"GB1,FAC",17
3640,0,0,603,"FAC,GB1",4
3666,0,0,1032,GB1,11
3682,0,0,1237,FAC,2
3692,0,0,379,"GB1,FAC",59
3698,0,0,"1039,20,589,465","GB1,FAC,TR1,SC1",43
3707,0,0,3911,FR1,31
3713,31,1,749,"CIT,IT1",104
3719,0,0,43,SC1,1
3730,5,0,"232,11","RU1,CL,RUP,ELQ,GB1,FAC",71
3753,5,0,6418,"GR1,GRP",39
3755,0,0,"3302,289","CDR,FAC",7
3762,3,0,603,"GB1,FAC",34
3771,1,1,"566,2079","BE1,GR1,GRP",42
3775,0,0,379,GB1,34
3783,2,0,465,"SC1,SFA",29
3785,2,0,"148,931","GB1,FAC,EL",59
3788,0,0,512,"GB1,FAC",44
3791,1,0,1071,GB1,25
3807,0,0,1039,GB1,23
3816,0,0,42,"L1,EL",14
3817,0,0,"3205,39","TR1,L1",18
3824,1,0,2553,SC1,20
3825,3,0,2759,"SC1,SFA",24
3838,0,0,984,"GB1,FAC",64
3851,7,0,167,"L1,DFB,EL",103
3869,5,1,"2759,2577","SC1,SFA,FAC",90
3875,87,0,"148,289,989,124","GB1,EL,ELQ,FAC,SC1,SFA",238
3876,8,0,"31,379,405","ELQ,GB1,EL,FAC",55
3878,4,0,985,"GB1,CL,FAC,GBCS,CLQ,EL",181
3881,3,0,"31,512","ELQ,GB1,EL,CL,FAC",157
3890,6,0,1147,FR1,24
3900,12,0,"6418,28956","GR1,GRP",56
3901,0,0,750,FR1,7
3913,0,0,750,FR1,2
3914,1,0,2292,TR1,10
3924,24,0,"141,631","TR1,CL,GB1,FAC",84
3926,5,0,7185,"GR1,GRP",30
3942,5,0,24,"L1,ELQ,DFB,EL",44
3947,1,0,1177,"DK1,DKP",10
3950,18,2,379,"GB1,FAC,ELQ",108
3966,10,0,"1039,2439,595","GB1,FAC,RU1,ELQ,EL,FR1",67
3975,13,0,"23,1506","L1,ELQ,TR1",57
3978,0,0,6996,"UKR1,UKRP",10
3979,0,0,"418,720","ES1,SUC,CL,CDR,USC,KLUB,PO1,EL,CLQ,POCP,POSU",251
3989,4,0,"932,1180,12438","RU1,RUP,ELQ",22
3995,1,1,"379,1123","GB1,FAC",53
4010,71,0,"36,234","CLQ,TR1,EL,NL1,NLP,NLSC",193
4015,0,0,"289,398","GB1,IT1",17
4018,6,0,167,"DFB,L1,EL",264
4042,0,0,"31,467,234","ELQ,EL,GB1,FAC,NL1,NLP,NLSC,CL",120
4055,1,0,1132,GB1,21
4058,0,0,1078,FAC,2
4063,14,0,"31,379,641","ELQ,GB1,EL,FAC",150
4070,1,0,984,"GB1,FAC",64
4072,37,0,"512,1132","GB1,FAC",188
4075,3,0,"2288,2292","GB1,TR1",30
4086,6,0,441,"GRP,GR1",13
4094,0,0,180,GB1,5
4095,0,0,"289,2999","GB1,FAC,SC1,SFA",32
4111,0,0,2288,GB1,12
4112,0,0,"512,349","GB1,FAC",2
4115,2,0,"931,984","GB1,FAC",43
4133,0,0,1519,"ELQ,SC1,SFA",27
4158,8,0,"132,306","NL1,NLP",55
4188,36,2,"720,114,10484,2420","PO1,POCP,EL,TR1,CL,ELQ",240
