player_id,name,position,sub_position,country_of_citizenship,image_url,goals,assists,red_cards,player_club_id
529113,Markus Iversen,Goalkeeper,Goalkeeper,Denmark,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
529149,Daniel Șerbănică,Defender,Left-Back,Romania,https://img.a.transfermarkt.technology/portrait/header/529149-1721649899.png?lm=1,0.0,0.0,0.0,0.0
529198,Fynn Otto,Defender,Centre-Back,Germany,https://img.a.transfermarkt.technology/portrait/header/529198-1528916538.JPG?lm=1,0.0,0.0,0.0,0.0
529223,Dean James,Defender,Left-Back,Indonesia,https://img.a.transfermarkt.technology/portrait/header/529223-1763723012.jpg?lm=1,3.0,7.0,0.0,2.0
529251,Ahmet Sivri,Attack,Left Winger,Türkiye,https://img.a.transfermarkt.technology/portrait/header/529251-1755099356.jpg?lm=1,0.0,0.0,0.0,1.0
529356,Eduardo Baldé,Attack,Centre-Forward,Guinea-Bissau,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,0.0
529425,Ennio van der Gouw,Goalkeeper,Goalkeeper,Netherlands,https://img.a.transfermarkt.technology/portrait/header/529425-1709893439.jpeg?lm=1,0.0,0.0,0.0,1.0
529512,Kristo Hussar,Defender,Right-Back,Estonia,https://img.a.transfermarkt.technology/portrait/header/529512-1647371298.jpg?lm=1,0.0,0.0,0.0,1.0
529543,Marko Nikolic,Defender,Centre-Back,Serbia,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,1.0,0.0,1.0
529548,Michal Rakoczy,Midfield,Attacking Midfield,Poland,https://img.a.transfermarkt.technology/portrait/header/529548-1669049302.png?lm=1,0.0,0.0,0.0,0.0
529595,Nikolaos Kousiadis,Goalkeeper,Goalkeeper,Greece,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,0.0,1.0
529596,Alexandros Parras,Defender,Left-Back,Greece,https://img.a.transfermarkt.technology/portrait/header/529596-1628956865.png?lm=1,0.0,2.0,0.0,2.0
529646,Patrick,Midfield,Attacking Midfield,Brazil,https://img.a.transfermarkt.technology/portrait/header/529646-1571671299.jpg?lm=1,0.0,0.0,0.0,1.0
529694,Yeon-soo Kim,Defender,Centre-Back,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/529694-1583178344.JPG?lm=1,0.0,0.0,0.0,0.0
529712,Min-kwang Jeon,Defender,Centre-Back,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/529712-1615484763.jpg?lm=1,0.0,0.0,0.0,0.0
529730,Kiki,Attack,Right Winger,Portugal,https://img.a.transfermarkt.technology/portrait/header/529730-1537888537.jpg?lm=1,0.0,1.0,0.0,2.0
529731,Duarte Valente,Midfield,Defensive Midfield,Portugal,https://img.a.transfermarkt.technology/portrait/header/529731-1550250754.jpg?lm=1,0.0,1.0,0.0,1.0
529759,Yeison Tolosa,Midfield,Attacking Midfield,Colombia,https://img.a.transfermarkt.technology/portrait/header/529759-1745853623.jpg?lm=1,0.0,0.0,0.0,0.0
529833,Riccardo Pigozzo,Goalkeeper,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/header/529833-1608093552.png?lm=1,0.0,0.0,0.0,0.0
529841,Mattia Zennaro,Midfield,Central Midfield,Italy,https://img.a.transfermarkt.technology/portrait/header/529841-1656583591.jpg?lm=1,0.0,0.0,0.0,0.0
529870,Danila Khotulev,Defender,Centre-Back,Russia,https://img.a.transfermarkt.technology/portrait/header/529870-1754114612.png?lm=1,2.0,3.0,0.0,2.0
529895,Daniel Elfadli,Defender,Centre-Back,Libya,https://img.a.transfermarkt.technology/portrait/header/529895-1758189409.jpg?lm=1,0.0,0.0,0.0,1.0
530032,Quaresma,Defender,Left-Back,Brazil,https://img.a.transfermarkt.technology/portrait/header/530032-1638436887.jpg?lm=1,1.0,3.0,1.0,1.0
530038,Aleksa Latkovic,Midfield,Attacking Midfield,Montenegro,https://img.a.transfermarkt.technology/portrait/header/530038-1736611493.png?lm=1,0.0,0.0,0.0,1.0
530057,Cheol-won Choi,Goalkeeper,Goalkeeper,"Korea, South",https://img.a.transfermarkt.technology/portrait/header/530057-1631645787.png?lm=1,0.0,0.0,0.0,0.0
530115,Rüfat Abdullazada,Midfield,Right Midfield,Azerbaijan,https://img.a.transfermarkt.technology/portrait/header/530115-1713414227.png?lm=1,0.0,0.0,0.0,0.0
530131,Panagiotis Katsikas,Goalkeeper,Goalkeeper,Greece,https://img.a.transfermarkt.technology/portrait/header/530131-1757718363.jpg?lm=1,0.0,0.0,0.0,2.0
530151,Sabuhi Abdullazada,Midfield,Central Midfield,Azerbaijan,https://img.a.transfermarkt.technology/portrait/header/530151-1759765271.png?lm=1,0.0,0.0,0.0,0.0
